IP1,IP2,IP3,IP4,case
182,93,7,194,1
23,129,64,217,1
3,60,243,123,0
124,111,43,237,0
127,147,158,152,0
80,213,242,252,0
35,96,152,109,0
2,84,44,169,0
69,15,178,100,0
121,123,196,33,0
243,254,46,149,0
162,135,232,62,0
131,97,187,6,0
157,99,113,230,0
65,181,105,134,0
205,120,31,97,0
240,43,117,89,0
108,213,42,130,0
254,227,77,201,0
190,84,177,186,0
201,117,134,145,0
110,180,223,226,0
249,114,65,231,0
127,206,126,175,0
214,171,189,251,0
139,40,189,124,0
84,118,28,153,0
120,9,148,205,0
254,175,169,194,0
130,144,119,124,0
89,144,11,75,0
115,180,24,1,0
21,118,3,239,0
100,120,7,114,0
58,80,181,139,0
16,50,79,91,0
191,89,139,52,0
93,34,245,14,0
251,172,91,204,0
92,154,41,164,0
33,87,6,66,0
57,17,57,179,0
134,226,74,58,0
182,182,244,10,0
249,177,54,192,0
151,222,139,126,0
240,66,171,16,0
94,183,47,88,0
219,89,13,80,0
48,69,138,88,0
72,186,225,138,0
64,113,220,6,0
12,42,36,185,0
178,41,201,28,0
115,12,149,151,0
131,245,62,197,0
80,160,139,101,0
32,44,114,61,0
103,106,236,79,0
105,128,28,139,0
193,244,6,40,0
252,51,246,63,0
136,250,18,1,0
132,232,78,44,0
128,251,95,77,0
130,15,238,17,0
90,131,227,41,0
223,193,134,65,0
233,113,83,35,0
159,16,172,24,0
28,199,47,10,0
128,124,162,209,0
187,244,171,189,0
104,18,152,65,0
16,140,56,87,0
91,133,3,154,0
246,196,180,41,0
92,15,113,216,0
199,231,108,31,0
90,133,215,126,0
87,249,19,72,0
129,84,168,214,0
69,107,79,82,0
243,203,87,82,0
88,26,38,254,0
243,13,120,71,0
121,146,86,169,0
16,119,178,154,0
96,67,205,157,0
133,49,201,131,0
14,127,175,178,0
52,35,119,194,0
76,44,195,133,0
176,200,189,239,0
12,157,228,105,0
44,74,201,143,0
158,1,89,26,0
217,147,29,210,0
43,134,227,57,0
43,220,46,133,0
3,162,158,136,0
101,194,91,70,0
151,20,66,241,0
175,85,74,6,0
52,220,205,144,0
62,190,20,158,0
206,171,42,66,0
167,73,248,59,0
211,242,63,77,0
29,155,64,62,0
80,76,29,191,0
49,53,249,120,0
255,134,119,130,0
2,213,206,42,0
235,45,198,82,0
251,218,189,34,0
229,193,168,246,0
83,72,232,247,0
14,72,137,8,0
131,105,38,136,0
44,244,50,70,0
144,39,115,40,0
124,74,55,244,0
193,128,12,14,0
142,183,73,156,0
129,19,123,183,0
212,25,255,242,0
217,149,230,225,0
5,76,76,63,0
38,240,202,138,0
165,228,60,36,0
141,246,89,88,0
203,183,150,187,0
84,196,19,172,0
187,28,151,167,0
26,144,92,28,0
157,103,9,29,0
39,206,63,146,0
64,200,137,82,0
6,249,241,232,0
27,201,43,104,0
194,248,226,19,0
120,165,30,150,0
65,160,84,145,0
90,255,5,40,0
252,107,130,91,0
73,211,226,190,0
212,217,86,20,0
124,101,101,126,0
215,201,85,50,0
6,252,127,227,0
42,30,154,245,0
76,169,221,75,0
18,18,160,112,0
10,185,51,172,0
178,115,249,179,0
112,168,220,216,0
21,78,149,42,0
65,180,5,215,0
156,109,63,97,0
119,84,15,252,0
244,205,16,200,0
46,138,9,146,0
119,48,31,163,0
164,192,17,113,0
32,118,205,20,0
26,249,76,251,0
212,224,147,74,0
150,20,203,54,0
48,169,253,152,0
254,97,48,100,0
149,163,189,209,0
222,242,158,228,0
79,79,196,20,0
112,45,66,224,0
195,40,45,127,0
221,2,141,64,0
49,117,172,77,0
126,170,246,4,0
88,230,186,71,0
22,92,84,112,0
93,106,126,246,0
90,59,14,105,0
87,227,193,98,0
137,11,150,158,0
166,95,193,234,0
50,214,55,175,0
146,79,73,134,0
206,188,175,190,0
54,71,153,179,0
119,113,57,86,0
167,195,48,172,0
163,54,105,212,0
67,230,190,109,0
217,192,207,71,0
232,241,193,184,0
100,39,143,233,0
193,109,10,192,0
124,4,140,105,0
83,204,148,47,0
111,7,99,128,0
80,108,76,199,0
5,28,245,253,0
66,54,199,243,0
251,227,72,29,0
137,107,228,248,0
72,49,73,27,0
29,205,102,207,0
180,136,128,228,0
63,248,92,229,0
177,191,208,33,0
231,144,87,242,0
139,221,199,127,0
107,164,236,65,0
212,200,250,228,0
95,36,165,171,0
181,131,126,172,0
165,229,238,157,0
203,221,218,113,0
95,5,211,74,0
100,81,148,182,0
30,65,68,132,0
3,245,195,20,0
140,233,113,211,0
172,6,149,155,0
169,26,114,215,0
203,43,147,246,0
88,134,16,104,0
184,86,52,43,0
254,69,1,22,0
248,126,197,108,0
92,244,164,239,0
244,171,201,231,0
79,110,106,222,0
187,68,228,93,0
151,54,225,60,0
51,91,85,186,0
95,225,237,120,0
127,189,152,54,0
5,32,232,125,0
217,221,92,138,0
141,185,2,170,0
137,243,246,11,0
170,88,55,65,0
25,33,47,146,0
190,106,125,182,0
255,116,42,76,0
213,42,210,110,0
30,163,184,184,0
193,88,10,75,0
213,210,82,8,0
36,204,236,209,0
144,211,93,231,0
240,62,206,74,0
114,237,128,56,0
28,221,30,70,0
5,16,223,40,0
196,107,83,225,0
199,58,53,146,0
44,27,115,205,0
78,36,44,206,0
43,105,171,142,0
25,181,210,111,0
64,150,12,76,0
252,193,236,177,0
184,80,127,74,0
252,223,17,116,0
82,32,213,123,0
124,247,180,114,0
230,65,13,165,0
91,219,38,215,0
10,63,81,216,0
70,86,55,190,0
120,209,174,128,0
124,254,8,45,0
18,75,33,182,0
104,248,20,7,0
245,107,82,246,0
250,89,218,108,0
15,172,238,245,0
62,80,24,146,0
67,159,59,168,0
246,66,151,191,0
163,146,66,192,0
227,114,205,213,0
184,210,201,93,0
74,198,210,246,0
8,127,168,118,0
159,139,29,9,0
55,156,59,15,0
161,76,213,82,0
167,128,26,213,0
95,125,243,21,0
92,61,105,208,0
213,76,131,40,0
132,138,149,119,0
114,49,22,184,0
232,34,248,207,0
163,248,121,203,0
168,189,185,190,0
91,197,25,155,0
71,116,181,44,0
57,48,212,229,0
175,51,138,171,0
248,194,54,43,0
245,123,184,234,0
56,230,180,186,0
111,73,90,63,0
129,180,2,80,0
6,239,238,44,0
43,64,32,202,0
237,150,249,104,0
247,226,63,118,0
226,209,127,234,0
111,51,169,73,0
218,203,242,197,0
11,39,212,196,0
253,193,243,147,0
157,33,1,237,0
240,96,230,247,0
99,133,73,79,0
111,154,81,167,0
97,136,9,137,0
244,34,198,15,0
26,108,122,89,0
30,17,225,156,0
117,129,238,150,0
24,229,152,76,0
76,15,149,166,0
182,41,228,63,0
40,49,105,180,0
136,243,247,219,0
155,37,208,77,0
169,122,182,24,0
202,123,60,187,0
130,202,114,92,0
234,242,155,138,0
218,56,51,119,0
125,112,223,139,0
82,75,16,233,0
22,3,49,142,0
188,31,83,136,0
180,249,148,73,0
21,160,28,35,0
106,134,226,11,0
146,52,198,228,0
165,196,20,89,0
100,4,168,4,0
46,40,26,119,0
6,44,228,170,0
7,167,84,32,0
84,183,177,146,0
213,154,43,49,0
153,42,134,194,0
16,225,210,232,0
97,214,202,253,0
230,211,47,188,0
27,92,30,107,0
82,80,19,195,0
115,29,30,7,0
178,114,230,218,0
220,196,197,106,0
176,178,78,59,0
51,143,5,92,0
160,166,82,172,0
203,228,77,237,0
134,25,114,16,0
199,159,64,51,0
138,53,87,178,0
44,252,155,243,0
16,8,90,172,0
201,196,182,50,0
